,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
127,0.0892,tanh,2.26E-07,0.80758953,0.719662794,244,3,1
128,0.9262,tanh,1.66E-07,0.000125818,0.001466563,249,4,1
129,0.1135,tanh,2.24E-06,0.150989123,0.011140601,162,4,1
130,0.2502,tanh,3.34E-07,0.014575288,0.014329221,105,3,1
131,0.1028,tanh,6.71E-06,0.575300373,0.426407217,235,2,1
132,0.941,tanh,1.14E-07,0.000556475,0.002018377,570,2,1
133,0.1135,tanh,4.29E-05,0.048070309,0.00260641,171,3,1
134,0.1009,tanh,5.69E-07,0.002384763,0.308744427,165,2,1
135,0.1135,tanh,4.61E-07,0.036926964,0.001177241,232,3,1
136,0.8127,tanh,3.91E-05,0.005049767,0.006424022,134,4,1
137,0.1135,tanh,1.16E-06,0.036017311,0.01804429,215,2,1
138,0.4738,tanh,7.84E-07,0.000104246,0.051141888,109,3,1
139,0.0958,tanh,3.69E-07,0.552021094,0.197978764,388,3,1
140,0.1135,tanh,8.01E-05,0.02834664,0.052142189,157,2,1
141,0.101,tanh,5.82E-06,0.003964075,0.241170361,386,4,1
142,0.1135,tanh,1.01E-06,0.037605814,0.006465735,199,4,1
143,0.3583,tanh,1.98E-06,0.001083018,0.147233641,308,2,1
144,0.4599,tanh,3.50E-06,0.00422397,0.030709623,146,4,1
145,0.1009,tanh,8.22E-05,0.003129877,0.789897761,622,3,1
146,0.1135,tanh,2.38E-05,0.004606283,0.221795512,344,3,1
147,0.101,tanh,2.08E-07,0.002629053,0.290943469,238,2,1
148,0.0974,tanh,1.97E-07,0.019180767,0.800408811,376,3,1
149,0.9411,tanh,3.74E-06,0.000802216,0.001451505,749,2,1
150,0.1135,tanh,3.06E-05,0.008291437,0.002139122,317,4,1
151,0.0974,tanh,1.47E-05,0.000638906,0.613986828,438,2,1
152,0.098,tanh,2.72E-07,0.001251506,0.678223764,641,2,1
153,0.9288,tanh,2.92E-07,0.001373901,0.001644302,261,3,1
154,0.1135,tanh,1.56E-06,0.029542865,0.016875618,312,2,1
155,0.1028,tanh,7.93E-05,0.000942769,0.215969548,858,2,1
156,0.101,tanh,1.37E-07,0.001008391,0.154474247,746,2,1
157,0.8918,tanh,4.18E-05,0.008629894,0.001373698,143,3,1
158,0.1135,tanh,6.47E-05,0.026736699,0.052506375,221,2,1
159,0.6777,tanh,1.87E-07,0.003434308,0.0126806,554,4,1
160,0.8518,tanh,1.58E-05,0.009686274,0.001303499,373,2,1
161,0.0974,tanh,1.73E-06,0.000969681,0.405777694,519,4,1
162,0.0958,tanh,8.66E-05,0.007041453,0.338639919,163,4,1
163,0.1135,tanh,4.92E-05,0.037546139,0.012796622,312,2,1
164,0.1028,tanh,2.26E-07,0.000292125,0.281120754,398,3,1
165,0.1135,tanh,1.14E-06,0.011367109,0.055101594,584,3,1
166,0.0958,tanh,1.68E-05,0.001721387,0.959838772,115,2,1
167,0.2088,tanh,4.67E-07,0.008538834,0.002677715,230,4,1
168,0.1135,tanh,9.17E-05,0.049736823,0.223705188,697,4,1
169,0.1135,tanh,2.39E-07,0.596392676,0.004444631,454,3,1
170,0.106,tanh,8.35E-05,0.066910775,0.450227772,130,2,1
171,0.1135,tanh,3.02E-05,0.012805365,0.082240667,555,3,1
172,0.8586,tanh,1.50E-05,0.00680473,0.004459226,166,2,1
173,0.9371,tanh,2.88E-05,0.000613587,0.001277418,763,4,1
174,0.1028,tanh,1.10E-07,0.000105297,0.620134934,336,2,1
175,0.9302,tanh,1.23E-07,0.001469588,0.004801712,405,3,1
176,0.7879,tanh,9.46E-05,0.000169701,0.065393013,190,2,1
177,0.9418,tanh,4.50E-06,0.000111951,0.005051612,868,4,1
178,0.9116,tanh,1.29E-06,0.000565791,0.00109291,108,4,1
179,0.1037,tanh,1.62E-07,0.058598461,0.645552144,376,4,1
180,0.9009,tanh,5.60E-07,0.00189738,0.005286649,299,2,1
181,0.1031,tanh,1.16E-06,0.226881634,0.177368097,476,3,1
182,0.764,tanh,1.23E-06,0.000569595,0.025480718,104,4,1
