,accuracy,basis_type,lambda,learning,n_basis,shrink
87,0.09799998998641968,identity,4.6415888336127775,0.21544346900318823,1.0,1.0
88,0.09799998998641968,identity,4.6415888336127775,0.46415888336127775,1.0,1.0
89,0.09799998998641968,identity,4.6415888336127775,1.0,1.0,1.0
90,0.6232998371124268,identity,10.0,0.001,1.0,1.0
91,0.7215999960899353,identity,10.0,0.0021544346900318843,1.0,1.0
92,0.7954999804496765,identity,10.0,0.004641588833612777,1.0,1.0
93,0.09799998998641968,identity,10.0,0.01,1.0,1.0
94,0.09799998998641968,identity,10.0,0.021544346900318832,1.0,1.0
95,0.09800000488758087,identity,10.0,0.046415888336127774,1.0,1.0
96,0.09800000488758087,identity,10.0,0.1,1.0,1.0
97,0.09800000488758087,identity,10.0,0.21544346900318823,1.0,1.0
98,0.09799998998641968,identity,10.0,0.46415888336127775,1.0,1.0
99,0.09799998998641968,identity,10.0,1.0,1.0,1.0
100,0.09800000488758087,identity,0.01,0.001,1.0,2.0
101,0.09800000488758087,identity,0.01,0.0021544346900318843,1.0,2.0
102,0.09800000488758087,identity,0.01,0.004641588833612777,1.0,2.0
103,0.09799998998641968,identity,0.01,0.01,1.0,2.0
104,0.09799998998641968,identity,0.01,0.021544346900318832,1.0,2.0
105,0.09799998998641968,identity,0.01,0.046415888336127774,1.0,2.0
106,0.09800000488758087,identity,0.01,0.1,1.0,2.0
107,0.09799998998641968,identity,0.01,0.21544346900318823,1.0,2.0
108,0.09799998998641968,identity,0.01,0.46415888336127775,1.0,2.0
109,0.09800000488758087,identity,0.01,1.0,1.0,2.0
110,0.09799998998641968,identity,0.021544346900318832,0.001,1.0,2.0
111,0.09800000488758087,identity,0.021544346900318832,0.0021544346900318843,1.0,2.0
112,0.09799998998641968,identity,0.021544346900318832,0.004641588833612777,1.0,2.0
113,0.09800000488758087,identity,0.021544346900318832,0.01,1.0,2.0
114,0.09799998998641968,identity,0.021544346900318832,0.021544346900318832,1.0,2.0
115,0.09799998998641968,identity,0.021544346900318832,0.046415888336127774,1.0,2.0
116,0.09799998998641968,identity,0.021544346900318832,0.1,1.0,2.0
117,0.09799998998641968,identity,0.021544346900318832,0.21544346900318823,1.0,2.0
118,0.09799998998641968,identity,0.021544346900318832,0.46415888336127775,1.0,2.0
119,0.09799998998641968,identity,0.021544346900318832,1.0,1.0,2.0
120,0.09799998998641968,identity,0.046415888336127774,0.001,1.0,2.0
121,0.09799998998641968,identity,0.046415888336127774,0.0021544346900318843,1.0,2.0
122,0.09799998998641968,identity,0.046415888336127774,0.004641588833612777,1.0,2.0
123,0.09799998998641968,identity,0.046415888336127774,0.01,1.0,2.0
124,0.09800000488758087,identity,0.046415888336127774,0.021544346900318832,1.0,2.0
125,0.09800000488758087,identity,0.046415888336127774,0.046415888336127774,1.0,2.0
126,0.09799998998641968,identity,0.046415888336127774,0.1,1.0,2.0
127,0.09799998998641968,identity,0.046415888336127774,0.21544346900318823,1.0,2.0
128,0.09799998998641968,identity,0.046415888336127774,0.46415888336127775,1.0,2.0
129,0.09800000488758087,identity,0.046415888336127774,1.0,1.0,2.0
130,0.6025999188423157,identity,0.1,0.001,1.0,2.0
131,0.6520999073982239,identity,0.1,0.0021544346900318843,1.0,2.0
132,0.5733998417854309,identity,0.1,0.004641588833612777,1.0,2.0
133,0.6522999405860901,identity,0.1,0.01,1.0,2.0
134,0.8855000734329224,identity,0.1,0.021544346900318832,1.0,2.0
135,0.8969000577926636,identity,0.1,0.046415888336127774,1.0,2.0
136,0.8332000374794006,identity,0.1,0.1,1.0,2.0
137,0.7575000524520874,identity,0.1,0.21544346900318823,1.0,2.0
138,0.8712000846862793,identity,0.1,0.46415888336127775,1.0,2.0
139,0.8518999814987183,identity,0.1,1.0,1.0,2.0
140,0.4916999042034149,identity,0.21544346900318834,0.001,1.0,2.0
141,0.6760998964309692,identity,0.21544346900318834,0.0021544346900318843,1.0,2.0
142,0.5702998638153076,identity,0.21544346900318834,0.004641588833612777,1.0,2.0
143,0.4062998592853546,identity,0.21544346900318834,0.01,1.0,2.0
144,0.6478999257087708,identity,0.21544346900318834,0.021544346900318832,1.0,2.0
145,0.6753999590873718,identity,0.21544346900318834,0.046415888336127774,1.0,2.0
146,0.7857000827789307,identity,0.21544346900318834,0.1,1.0,2.0
147,0.781000018119812,identity,0.21544346900318834,0.21544346900318823,1.0,2.0
148,0.740399956703186,identity,0.21544346900318834,0.46415888336127775,1.0,2.0
149,0.8071000576019287,identity,0.21544346900318834,1.0,1.0,2.0
150,0.610499918460846,identity,0.46415888336127775,0.001,1.0,2.0
151,0.7497000098228455,identity,0.46415888336127775,0.0021544346900318843,1.0,2.0
152,0.6899999380111694,identity,0.46415888336127775,0.004641588833612777,1.0,2.0
153,0.7229999303817749,identity,0.46415888336127775,0.01,1.0,2.0
154,0.5570998787879944,identity,0.46415888336127775,0.021544346900318832,1.0,2.0
155,0.6597998738288879,identity,0.46415888336127775,0.046415888336127774,1.0,2.0
156,0.678899884223938,identity,0.46415888336127775,0.1,1.0,2.0
157,0.7511000633239746,identity,0.46415888336127775,0.21544346900318823,1.0,2.0
158,0.7876999974250793,identity,0.46415888336127775,0.46415888336127775,1.0,2.0
159,0.7792999744415283,identity,0.46415888336127775,1.0,1.0,2.0
160,0.6401998996734619,identity,1.0,0.001,1.0,2.0
161,0.7551999688148499,identity,1.0,0.0021544346900318843,1.0,2.0
162,0.6464998722076416,identity,1.0,0.004641588833612777,1.0,2.0
163,0.5477998852729797,identity,1.0,0.01,1.0,2.0
164,0.5019998550415039,identity,1.0,0.021544346900318832,1.0,2.0
165,0.45299988985061646,identity,1.0,0.046415888336127774,1.0,2.0
166,0.5670998692512512,identity,1.0,0.1,1.0,2.0
167,0.4581998884677887,identity,1.0,0.21544346900318823,1.0,2.0
168,0.5314999222755432,identity,1.0,0.46415888336127775,1.0,2.0
169,0.5231998562812805,identity,1.0,1.0,1.0,2.0
170,0.6392999291419983,identity,2.154434690031882,0.001,1.0,2.0
171,0.7538000345230103,identity,2.154434690031882,0.0021544346900318843,1.0,2.0
172,0.733199954032898,identity,2.154434690031882,0.004641588833612777,1.0,2.0
173,0.6360999345779419,identity,2.154434690031882,0.01,1.0,2.0
174,0.5470998883247375,identity,2.154434690031882,0.021544346900318832,1.0,2.0
175,0.3626999258995056,identity,2.154434690031882,0.046415888336127774,1.0,2.0
176,0.29069995880126953,identity,2.154434690031882,0.1,1.0,2.0
177,0.0981999933719635,identity,2.154434690031882,0.21544346900318823,1.0,2.0
178,0.09799998998641968,identity,2.154434690031882,0.46415888336127775,1.0,2.0
179,0.09799998998641968,identity,2.154434690031882,1.0,1.0,2.0
180,0.6046998500823975,identity,4.6415888336127775,0.001,1.0,2.0
181,0.7277999520301819,identity,4.6415888336127775,0.0021544346900318843,1.0,2.0
182,0.7265000343322754,identity,4.6415888336127775,0.004641588833612777,1.0,2.0
183,0.7501000165939331,identity,4.6415888336127775,0.01,1.0,2.0
184,0.6757999062538147,identity,4.6415888336127775,0.021544346900318832,1.0,2.0
185,0.09799998998641968,identity,4.6415888336127775,0.046415888336127774,1.0,2.0
186,0.09799998998641968,identity,4.6415888336127775,0.1,1.0,2.0
187,0.09799998998641968,identity,4.6415888336127775,0.21544346900318823,1.0,2.0
188,0.09799998998641968,identity,4.6415888336127775,0.46415888336127775,1.0,2.0
189,0.09799998998641968,identity,4.6415888336127775,1.0,1.0,2.0
190,0.6156998872756958,identity,10.0,0.001,1.0,2.0
191,0.7106000185012817,identity,10.0,0.0021544346900318843,1.0,2.0
192,0.8021999597549438,identity,10.0,0.004641588833612777,1.0,2.0
193,0.09800000488758087,identity,10.0,0.01,1.0,2.0
194,0.09799998998641968,identity,10.0,0.021544346900318832,1.0,2.0
195,0.09800000488758087,identity,10.0,0.046415888336127774,1.0,2.0
196,0.09799998998641968,identity,10.0,0.1,1.0,2.0
197,0.09799998998641968,identity,10.0,0.21544346900318823,1.0,2.0
198,0.09800000488758087,identity,10.0,0.46415888336127775,1.0,2.0
199,0.09800000488758087,identity,10.0,1.0,1.0,2.0
