,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
148,0.874,tanh,1.00E-07,0.0001,0.01,215,4,1
149,0.8606,tanh,1.00E-06,0.0001,0.01,215,4,1
150,0.8835,tanh,1.00E-05,0.0001,0.01,215,4,1
151,0.9095,tanh,0.0001,0.0001,0.01,215,4,1
152,0.635,tanh,1.00E-07,0.0001,0.1,215,4,1
153,0.6403,tanh,1.00E-06,0.0001,0.1,215,4,1
154,0.5969,tanh,1.00E-05,0.0001,0.1,215,4,1
155,0.7577,tanh,0.0001,0.0001,0.1,215,4,1
156,0.1006,tanh,1.00E-07,0.0001,1,215,4,1
157,0.098,tanh,1.00E-06,0.0001,1,215,4,1
158,0.0982,tanh,1.00E-05,0.0001,1,215,4,1
159,0.0974,tanh,0.0001,0.0001,1,215,4,1
160,0.9287,tanh,1.00E-07,0.0001,0.001,464,4,1
161,0.9348,tanh,1.00E-06,0.0001,0.001,464,4,1
162,0.9277,tanh,1.00E-05,0.0001,0.001,464,4,1
163,0.9215,tanh,0.0001,0.0001,0.001,464,4,1
164,0.8741,tanh,1.00E-07,0.0001,0.01,464,4,1
165,0.8853,tanh,1.00E-06,0.0001,0.01,464,4,1
166,0.9095,tanh,1.00E-05,0.0001,0.01,464,4,1
167,0.9235,tanh,0.0001,0.0001,0.01,464,4,1
168,0.5125,tanh,1.00E-07,0.0001,0.1,464,4,1
169,0.7374,tanh,1.00E-06,0.0001,0.1,464,4,1
170,0.6689,tanh,1.00E-05,0.0001,0.1,464,4,1
171,0.7062,tanh,0.0001,0.0001,0.1,464,4,1
172,0.1009,tanh,1.00E-07,0.0001,1,464,4,1
173,0.1009,tanh,1.00E-06,0.0001,1,464,4,1
174,0.1135,tanh,1.00E-05,0.0001,1,464,4,1
175,0.0958,tanh,0.0001,0.0001,1,464,4,1
176,0.9406,tanh,1.00E-07,0.0001,0.001,1000,4,1
177,0.9403,tanh,1.00E-06,0.0001,0.001,1000,4,1
178,0.9389,tanh,1.00E-05,0.0001,0.001,1000,4,1
179,0.937,tanh,0.0001,0.0001,0.001,1000,4,1
180,0.9011,tanh,1.00E-07,0.0001,0.01,1000,4,1
181,0.911,tanh,1.00E-06,0.0001,0.01,1000,4,1
182,0.9215,tanh,1.00E-05,0.0001,0.01,1000,4,1
183,0.9409,tanh,0.0001,0.0001,0.01,1000,4,1
184,0.7704,tanh,1.00E-07,0.0001,0.1,1000,4,1
185,0.7894,tanh,1.00E-06,0.0001,0.1,1000,4,1
186,0.701,tanh,1.00E-05,0.0001,0.1,1000,4,1
187,0.8268,tanh,0.0001,0.0001,0.1,1000,4,1
188,0.0892,tanh,1.00E-07,0.0001,1,1000,4,1
189,0.1003,tanh,1.00E-06,0.0001,1,1000,4,1
190,0.101,tanh,1.00E-05,0.0001,1,1000,4,1
191,0.101,tanh,0.0001,0.0001,1,1000,4,1
192,0.9102,tanh,1.00E-07,0.001,0.001,100,2,1
193,0.9044,tanh,1.00E-06,0.001,0.001,100,2,1
194,0.9074,tanh,1.00E-05,0.001,0.001,100,2,1
195,0.8953,tanh,0.0001,0.001,0.001,100,2,1
196,0.7771,tanh,1.00E-07,0.001,0.01,100,2,1
197,0.7976,tanh,1.00E-06,0.001,0.01,100,2,1
198,0.8713,tanh,1.00E-05,0.001,0.01,100,2,1
199,0.8844,tanh,0.0001,0.001,0.01,100,2,1
200,0.4296,tanh,1.00E-07,0.001,0.1,100,2,1
201,0.5535,tanh,1.00E-06,0.001,0.1,100,2,1
202,0.4866,tanh,1.00E-05,0.001,0.1,100,2,1
203,0.6185,tanh,0.0001,0.001,0.1,100,2,1
204,0.1028,tanh,1.00E-07,0.001,1,100,2,1
205,0.0892,tanh,1.00E-06,0.001,1,100,2,1
206,0.1028,tanh,1.00E-05,0.001,1,100,2,1
207,0.098,tanh,0.0001,0.001,1,100,2,1
208,0.9235,tanh,1.00E-07,0.001,0.001,215,2,1
209,0.92,tanh,1.00E-06,0.001,0.001,215,2,1
210,0.9191,tanh,1.00E-05,0.001,0.001,215,2,1
211,0.9118,tanh,0.0001,0.001,0.001,215,2,1
212,0.8728,tanh,1.00E-07,0.001,0.01,215,2,1
213,0.8799,tanh,1.00E-06,0.001,0.01,215,2,1
214,0.8704,tanh,1.00E-05,0.001,0.01,215,2,1
215,0.9096,tanh,0.0001,0.001,0.01,215,2,1
216,0.5742,tanh,1.00E-07,0.001,0.1,215,2,1
217,0.4964,tanh,1.00E-06,0.001,0.1,215,2,1
218,0.5777,tanh,1.00E-05,0.001,0.1,215,2,1
219,0.5769,tanh,0.0001,0.001,0.1,215,2,1
220,0.1135,tanh,1.00E-07,0.001,1,215,2,1
221,0.0974,tanh,1.00E-06,0.001,1,215,2,1
222,0.1032,tanh,1.00E-05,0.001,1,215,2,1
223,0.0982,tanh,0.0001,0.001,1,215,2,1
224,0.9294,tanh,1.00E-07,0.001,0.001,464,2,1
225,0.9305,tanh,1.00E-06,0.001,0.001,464,2,1
226,0.9305,tanh,1.00E-05,0.001,0.001,464,2,1
227,0.9232,tanh,0.0001,0.001,0.001,464,2,1
228,0.8933,tanh,1.00E-07,0.001,0.01,464,2,1
229,0.8939,tanh,1.00E-06,0.001,0.01,464,2,1
230,0.9002,tanh,1.00E-05,0.001,0.01,464,2,1
231,0.9246,tanh,0.0001,0.001,0.01,464,2,1
232,0.645,tanh,1.00E-07,0.001,0.1,464,2,1
233,0.5255,tanh,1.00E-06,0.001,0.1,464,2,1
234,0.494,tanh,1.00E-05,0.001,0.1,464,2,1
235,0.6171,tanh,0.0001,0.001,0.1,464,2,1
236,0.101,tanh,1.00E-07,0.001,1,464,2,1
237,0.1032,tanh,1.00E-06,0.001,1,464,2,1
238,0.101,tanh,1.00E-05,0.001,1,464,2,1
239,0.0892,tanh,0.0001,0.001,1,464,2,1
240,0.9394,tanh,1.00E-07,0.001,0.001,1000,2,1
241,0.9392,tanh,1.00E-06,0.001,0.001,1000,2,1
242,0.937,tanh,1.00E-05,0.001,0.001,1000,2,1
243,0.9351,tanh,0.0001,0.001,0.001,1000,2,1
244,0.8875,tanh,1.00E-07,0.001,0.01,1000,2,1
245,0.8958,tanh,1.00E-06,0.001,0.01,1000,2,1
246,0.895,tanh,1.00E-05,0.001,0.01,1000,2,1
247,0.9258,tanh,0.0001,0.001,0.01,1000,2,1
248,0.1028,tanh,1.00E-07,0.001,0.1,1000,2,1
249,0.098,tanh,1.00E-06,0.001,0.1,1000,2,1
250,0.101,tanh,1.00E-05,0.001,0.1,1000,2,1
251,0.6372,tanh,0.0001,0.001,0.1,1000,2,1
252,0.101,tanh,1.00E-07,0.001,1,1000,2,1
253,0.0892,tanh,1.00E-06,0.001,1,1000,2,1
254,0.0974,tanh,1.00E-05,0.001,1,1000,2,1
255,0.101,tanh,0.0001,0.001,1,1000,2,1
