,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
892,0.1009,tanh,1.00E-07,1,1,1000,3,1
893,0.0974,tanh,1.00E-06,1,1,1000,3,1
894,0.0892,tanh,1.00E-05,1,1,1000,3,1
895,0.1009,tanh,0.0001,1,1,1000,3,1
896,0.1135,tanh,1.00E-07,1,0.001,100,4,1
897,0.1135,tanh,1.00E-06,1,0.001,100,4,1
898,0.1135,tanh,1.00E-05,1,0.001,100,4,1
899,0.1135,tanh,0.0001,1,0.001,100,4,1
900,0.1135,tanh,1.00E-07,1,0.01,100,4,1
901,0.1135,tanh,1.00E-06,1,0.01,100,4,1
902,0.1135,tanh,1.00E-05,1,0.01,100,4,1
903,0.1135,tanh,0.0001,1,0.01,100,4,1
904,0.1055,tanh,1.00E-07,1,0.1,100,4,1
905,0.0937,tanh,1.00E-06,1,0.1,100,4,1
906,0.1135,tanh,1.00E-05,1,0.1,100,4,1
907,0.1135,tanh,0.0001,1,0.1,100,4,1
908,0.1032,tanh,1.00E-07,1,1,100,4,1
909,0.098,tanh,1.00E-06,1,1,100,4,1
910,0.0974,tanh,1.00E-05,1,1,100,4,1
911,0.071,tanh,0.0001,1,1,100,4,1
912,0.1135,tanh,1.00E-07,1,0.001,215,4,1
913,0.1135,tanh,1.00E-06,1,0.001,215,4,1
914,0.1135,tanh,1.00E-05,1,0.001,215,4,1
915,0.1135,tanh,0.0001,1,0.001,215,4,1
916,0.1135,tanh,1.00E-07,1,0.01,215,4,1
917,0.1135,tanh,1.00E-06,1,0.01,215,4,1
918,0.1135,tanh,1.00E-05,1,0.01,215,4,1
919,0.1135,tanh,0.0001,1,0.01,215,4,1
920,0.1047,tanh,1.00E-07,1,0.1,215,4,1
921,0.1082,tanh,1.00E-06,1,0.1,215,4,1
922,0.1033,tanh,1.00E-05,1,0.1,215,4,1
923,0.0962,tanh,0.0001,1,0.1,215,4,1
924,0.098,tanh,1.00E-07,1,1,215,4,1
925,0.098,tanh,1.00E-06,1,1,215,4,1
926,0.1009,tanh,1.00E-05,1,1,215,4,1
927,0.0958,tanh,0.0001,1,1,215,4,1
928,0.1135,tanh,1.00E-07,1,0.001,464,4,1
929,0.1135,tanh,1.00E-06,1,0.001,464,4,1
930,0.1135,tanh,1.00E-05,1,0.001,464,4,1
931,0.1135,tanh,0.0001,1,0.001,464,4,1
932,0.1135,tanh,1.00E-07,1,0.01,464,4,1
933,0.1135,tanh,1.00E-06,1,0.01,464,4,1
934,0.1135,tanh,1.00E-05,1,0.01,464,4,1
935,0.1135,tanh,0.0001,1,0.01,464,4,1
936,0.0982,tanh,1.00E-07,1,0.1,464,4,1
937,0.098,tanh,1.00E-06,1,0.1,464,4,1
938,0.0646,tanh,1.00E-05,1,0.1,464,4,1
939,0.0034,tanh,0.0001,1,0.1,464,4,1
940,0.1135,tanh,1.00E-07,1,1,464,4,1
941,0.0982,tanh,1.00E-06,1,1,464,4,1
942,0.1009,tanh,1.00E-05,1,1,464,4,1
943,0.098,tanh,0.0001,1,1,464,4,1
944,0.1135,tanh,1.00E-07,1,0.001,1000,4,1
945,0.1135,tanh,1.00E-06,1,0.001,1000,4,1
946,0.1135,tanh,1.00E-05,1,0.001,1000,4,1
947,0.1135,tanh,0.0001,1,0.001,1000,4,1
948,0.1135,tanh,1.00E-07,1,0.01,1000,4,1
949,0.1135,tanh,1.00E-06,1,0.01,1000,4,1
950,0.1135,tanh,1.00E-05,1,0.01,1000,4,1
951,0.0427,tanh,0.0001,1,0.01,1000,4,1
952,0.1009,tanh,1.00E-07,1,0.1,1000,4,1
953,0.1032,tanh,1.00E-06,1,0.1,1000,4,1
954,0.1009,tanh,1.00E-05,1,0.1,1000,4,1
955,0.0982,tanh,0.0001,1,0.1,1000,4,1
956,0.098,tanh,1.00E-07,1,1,1000,4,1
957,0.0892,tanh,1.00E-06,1,1,1000,4,1
958,0.0974,tanh,1.00E-05,1,1,1000,4,1
959,0.098,tanh,0.0001,1,1,1000,4,1
